doc_id,replydate,replies,char_count_median,response_median,response_rating,response_likes
81838,2016-01-28,5,138,336,5,4
62938,2015-10-03,2,150,288,"",4
90661,2015-09-27,1,329,181,"",4
82051,2016-01-25,3,184,48,4,4
95694,2015-07-28,1,349,97,3,4
95694,2015-08-17,11,241,364,3,4
95939,2016-01-23,2,384,10,4,4
95694,2015-12-10,4,199,76,"",4
96483,2016-02-25,4,61,8,3,4
123102,2015-10-22,1,981,317,"",4
118893,2016-02-15,1,86,2,4,4
131142,2015-12-27,1,666,43,"",4
123102,2015-11-15,1,1008,142,5,4
151889,2015-12-04,2,242,3,"",4
138793,2016-03-08,2,337,30,"",4
151889,2015-12-30,2,219,26,"",4
140605,2015-09-22,1,264,227,5,4
160730,2015-08-07,3,217,713,"",4
144493,2016-01-17,1,489,"","",4
160730,2015-10-04,9,172,348,3,4
144493,2016-01-25,6,316,0,5,4
163170,2016-01-08,1,353,23,"",4
157323,2016-01-01,2,47,44,3,4
167591,2016-02-20,1,333,146,3,4
178336,2015-09-11,5,139,78,1,4
170812,2015-10-18,1,223,7,"",4
180401,2016-01-21,4,288,71,3,4
180401,2016-02-08,2,359,72,5,4
230794,2015-12-12,1,300,733,3,4
181321,2016-03-30,2,99,12,"",4
230794,2016-01-26,1,699,121,"",4
230794,2015-09-25,4,173,126,4,4
230794,2016-02-18,1,1094,17,"",4
230794,2015-10-14,5,268,113,3,4
240563,2016-03-09,1,110,34,3,4
230794,2016-03-16,4,504,96,5,4
294084,2016-01-10,5,110,129,2,4
284673,2015-11-23,5,300,275,4,4
294084,2016-01-14,2,26,546,4,4
284673,2015-12-28,3,325,1525,3,4
327461,2015-12-11,2,304,128,3,4
294084,2015-11-19,10,76,36,2,4
346512,2016-04-05,4,409,435,"",4
294084,2015-12-19,4,112,35,4,4
391436,2016-02-08,7,432,144,5,4
315787,2015-12-31,11,83,99,5,4
881,2015-11-29,1,342,23,"",4
399135,2016-04-25,6,940,37,5,4
4511,2016-03-02,1,36,43,"",4
431412,2016-02-17,1,464,100,2,4
5876,2016-02-24,4,344,11,4,4
433007,2016-03-10,2,251,28,4,4
8999,2016-02-11,1,618,48,3,4
471825,2016-02-24,2,317,14,"",4
15919,2015-12-13,3,526,1529,4,4
507888,2016-03-26,2,73,18,2,4
19135,2015-08-22,2,111,6,5,4
516243,2016-03-14,10,369,50,"",4
21795,2015-08-23,1,948,17,5,4
550940,2016-03-11,5,202,21,"",4
28575,2015-07-16,1,434,54,5,4
2293,2015-12-14,1,532,6,5,4
33062,2016-01-31,2,174,53,5,4
8617,2015-08-31,4,338,119,4,4
35064,2015-12-05,1,175,303,2,4
9830,2015-08-06,7,348,19,4,4
45258,2016-02-26,4,132,2892,"",4
10538,2016-01-29,1,24,4,5,4
51806,2015-08-31,12,143,53,"",4
21739,2015-12-03,1,117,72,5,4
56660,2015-10-04,1,391,18,"",4
27048,2016-01-25,5,418,89,5,4
90661,2015-09-25,9,274,29,3,4
27048,2016-02-11,4,821,10,4,4
93781,2016-02-07,2,35,12,5,4
30461,2015-12-10,1,313,433,4,4
96831,2015-11-10,3,209,193,5,4
30880,2015-08-06,4,146,21,4,4
131142,2016-02-27,2,346,39,"",4
31530,2016-03-11,6,124,11,5,4
138793,2016-02-12,4,277,14,3,4
37438,2015-07-28,11,265,1146,"",4
140576,2015-10-27,3,415,62,"",4
44958,2015-08-26,6,366,12,2,4
144416,2015-09-22,8,329,13,"",4
55377,2015-09-16,4,207,81,"",4
144493,2016-01-27,4,289,0,4,4
64436,2015-12-10,1,574,5,"",4
152577,2015-08-08,3,193,7,"",4
66679,2015-09-21,1,145,13,3,4
173816,2016-01-28,1,90,105,"",4
82051,2016-02-07,2,77,35,4,4
180401,2016-02-04,1,844,123,5,4
87120,2015-12-12,1,109,17,"",4
189579,2016-01-25,1,150,39,"",4
119773,2016-03-04,1,643,6,4,4
189727,2015-09-15,5,210,16,3,4
138793,2016-02-13,4,212,10,3,4
189727,2015-10-01,1,114,256,"",4
140164,2016-04-03,3,185,213,5,4
190139,2015-09-03,9,150,708,4,4
144416,2015-12-02,1,400,150,3,4
190139,2015-10-01,14,180,100,3,4
151889,2015-12-08,3,257,354,3,4
200549,2015-09-19,2,216,209,4,4
152839,2015-11-03,1,368,29,3,4
208541,2015-09-28,1,252,163,"",4
157793,2016-01-25,4,200,14,5,4
217248,2015-12-11,1,181,75,"",4
160730,2015-07-27,17,163,119,4,4
222907,2015-11-01,3,94,26,1,4
160730,2015-07-31,2,196,6,4,4
227716,2016-04-15,1,155,89,5,4
160730,2015-08-10,4,170,41,"",4
230508,2015-09-26,1,267,47,"",4
176211,2015-12-05,1,327,25,5,4
230794,2015-12-13,1,556,398,4,4
180401,2016-02-09,3,546,81,5,4
235993,2016-02-17,1,110,103,3,4
180401,2016-02-10,4,239,25,4,4
244703,2015-09-30,1,148,12,"",4
200549,2015-10-05,2,114,150,5,4
246645,2015-10-02,13,493,330,4,4
218897,2015-12-17,1,95,204,3,4
276026,2015-11-27,4,1221,287,4,4
221821,2015-12-15,2,458,20,5,4
286563,2015-12-31,1,228,87,4,4
222907,2015-11-05,1,68,20,"",4
294084,2015-12-29,3,57,6,3,4
223139,2016-02-17,1,223,47,"",4
294084,2016-01-16,5,95,419,4,4
229440,2015-09-24,1,832,36,5,4
294084,2016-01-19,6,139,109,2,4
230794,2016-02-14,2,600,149,3,4
333838,2016-01-25,5,67,17,"",4
230794,2016-03-10,1,641,60,"",4
426073,2016-02-11,1,261,637,5,4
276026,2015-11-28,1,3360,233,5,4
427079,2016-03-06,2,38,29,"",4
276026,2015-12-07,2,1232,78,"",4
428522,2016-02-10,1,408,13,5,4
294084,2015-11-10,1,233,36,5,4
529755,2016-03-06,7,382,113,3,4
399135,2016-03-28,4,771,217,"",4
581745,2016-04-07,9,101,118,5,4
420676,2015-08-25,3,324,397,"",4
508640,2016-03-13,6,212,0,5,4
556854,2016-03-15,1,537,24,5,4
2293,2016-02-17,1,42,71,"",3
625,2016-04-01,3,558,"","",3
3760,2015-10-14,1,289,158,"",3
1414,2015-12-04,1,96,454,3,3
5876,2016-02-17,3,522,1185,5,3
3155,2015-09-29,1,448,81,"",3
7707,2016-03-04,1,147,250,3,3
3682,2015-09-28,5,140,5461,"",3
8999,2016-02-13,2,215,128,"",3
3730,2016-03-21,1,302,13,5,3
9830,2015-08-05,3,230,190,5,3
4511,2016-02-19,1,75,239,"",3
9830,2015-11-12,11,190,443,3,3
7266,2016-01-11,1,186,117,5,3
13105,2016-03-05,1,40,29,4,3
9830,2015-07-28,1,230,348,"",3
13280,2015-12-29,2,218,30,3,3
9830,2015-08-13,5,211,367,4,3
13280,2016-01-09,2,258,227,4,3
9928,2015-08-17,1,814,312,"",3
15752,2015-11-20,1,279,10,"",3
17749,2016-02-10,4,181,18,"",3
19135,2015-09-10,1,158,40,"",3
18894,2016-03-13,1,351,12,5,3
19428,2015-09-08,1,297,169,"",3
21133,2015-12-11,4,102,10,"",3
19860,2015-12-05,1,1359,204,4,3
23788,2015-08-25,3,255,286,1,3
19860,2015-12-09,4,571,30,3,3
23909,2016-03-11,2,72,19,"",3
19860,2016-01-20,3,336,433,4,3
25014,2015-12-10,1,61,25,"",3
20266,2015-11-14,1,137,132,3,3
26403,2015-11-17,2,183,3,4,3
21133,2015-12-09,5,118,217,5,3
27024,2015-09-23,6,513,305,"",3
22415,2016-03-03,1,411,49,"",3
27048,2016-02-03,3,838,17,5,3
